文件名,键名,日文原文,当前使用,使用来源,todo/new_翻译,jp_cn_翻译,data_翻译
ProduceCard.json,p_card-02-act-3_039|1|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[5].text,が7以上の場合、使用可,在7以上的時候，可以使用,todo/new,在7以上的時候，可以使用,,的<nobr>
ProduceCard.json,p_card-02-act-3_039|1|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[7].text,元気,元氣,todo/new,元氣,,%</nobr>數值變為
ProduceCard.json,p_card-02-act-3_039|1|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[8].text,の<nobr>,的<nobr>,todo/new,的<nobr>,,打分
ProduceCard.json,p_card-02-act-3_039|1|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[11].text,パラメータ,打分,todo/new,打分,,，
ProduceCard.json,p_card-02-act-3_039|1|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[12].text,上昇,上升,todo/new,上升,,元氣
ProduceCard.json,p_card-02-act-3_039|1|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[16].text,を0にする,變為0,todo/new,變為0,,<nobr>
ProduceCard.json,p_card-02-act-3_039|2|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[5].text,が7以上の場合、使用可,在7以上的時候，可以使用,todo/new,在7以上的時候，可以使用,,的<nobr>
ProduceCard.json,p_card-02-act-3_039|2|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[7].text,元気,元氣,todo/new,元氣,,%</nobr>數值變為
ProduceCard.json,p_card-02-act-3_039|2|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[8].text,の<nobr>,的<nobr>,todo/new,的<nobr>,,打分
ProduceCard.json,p_card-02-act-3_039|2|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[11].text,パラメータ,打分,todo/new,打分,,，
ProduceCard.json,p_card-02-act-3_039|2|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[12].text,上昇,上升,todo/new,上升,,元氣
ProduceCard.json,p_card-02-act-3_039|2|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[16].text,を0にする,變為0,todo/new,變為0,,<nobr>
ProduceCard.json,p_card-02-act-3_039|3|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[5].text,が7以上の場合、使用可,在7以上的時候，可以使用,todo/new,在7以上的時候，可以使用,,的<nobr>
ProduceCard.json,p_card-02-act-3_039|3|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[7].text,元気,元氣,todo/new,元氣,,%</nobr>數值變為
ProduceCard.json,p_card-02-act-3_039|3|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[8].text,の<nobr>,的<nobr>,todo/new,的<nobr>,,打分
ProduceCard.json,p_card-02-act-3_039|3|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[11].text,パラメータ,打分,todo/new,打分,,，
ProduceCard.json,p_card-02-act-3_039|3|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[12].text,上昇,上升,todo/new,上升,,元氣
ProduceCard.json,p_card-02-act-3_039|3|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[16].text,を0にする,變為0,todo/new,變為0,,<nobr>
ProduceCard.json,p_card-02-act-3_045|0|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamReview|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamReview_Produce|produceDescriptions[5].text,やる気,幹勁,todo/new,幹勁,,元氣
ProduceCard.json,p_card-02-act-3_045|0|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamReview|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamReview_Produce|produceDescriptions[6].text,が3以上の場合、使用可,在3以上的時候，可以使用,todo/new,在3以上的時候，可以使用,,+
ProduceCard.json,p_card-02-act-3_045|0|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamReview|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamReview_Produce|produceDescriptions[13].text,元気,元氣,todo/new,元氣,,打分
ProduceCard.json,p_card-02-act-3_045|0|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamReview|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamReview_Produce|produceDescriptions[14].text,の<nobr>,的<nobr>,todo/new,的<nobr>,,上升
ProduceCard.json,p_card-02-act-3_045|0|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamReview|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamReview_Produce|produceDescriptions[17].text,パラメータ,打分,todo/new,打分,,幹勁
ProduceCard.json,p_card-02-act-3_045|0|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamReview|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamReview_Produce|produceDescriptions[18].text,上昇,上升,todo/new,上升,,的<nobr>
ProduceCard.json,p_card-02-act-3_045|0|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamReview|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamReview_Produce|produceDescriptions[21].text,やる気,幹勁,todo/new,幹勁,,打分
ProduceCard.json,p_card-02-act-3_045|0|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamReview|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamReview_Produce|produceDescriptions[22].text,の<nobr>,的<nobr>,todo/new,的<nobr>,,上升
ProduceCard.json,p_card-02-act-3_045|0|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamReview|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamReview_Produce|produceDescriptions[26].text,上昇,上升,todo/new,上升,,<nobr>
ProduceCard.json,p_card-02-act-3_045|1|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamReview|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamReview_Produce|produceDescriptions[5].text,やる気,幹勁,todo/new,幹勁,,元氣
ProduceCard.json,p_card-02-act-3_045|1|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamReview|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamReview_Produce|produceDescriptions[6].text,が3以上の場合、使用可,在3以上的時候，可以使用,todo/new,在3以上的時候，可以使用,,+
ProduceCard.json,p_card-02-act-3_045|1|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamReview|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamReview_Produce|produceDescriptions[12].text,やる気,幹勁,todo/new,幹勁,,%</nobr>數值變為
ProduceCard.json,p_card-02-act-3_045|1|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamReview|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamReview_Produce|produceDescriptions[13].text,効果を<nobr>1.5倍</nobr>適用）,效果會<nobr>1.5倍</nobr>生效）,todo/new,效果會<nobr>1.5倍</nobr>生效）,,打分
ProduceCard.json,p_card-02-act-3_045|1|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamReview|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamReview_Produce|produceDescriptions[18].text,%</nobr>分,%</nobr>數值變為,todo/new,%</nobr>數值變為,,的<nobr>
ProduceCard.json,p_card-02-act-3_045|1|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamReview|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamReview_Produce|produceDescriptions[19].text,パラメータ,打分,todo/new,打分,,200
ProduceCard.json,p_card-02-act-3_045|1|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamReview|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamReview_Produce|produceDescriptions[20].text,上昇,上升,todo/new,上升,,%</nobr>數值變為
ProduceCard.json,p_card-02-act-3_045|1|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamReview|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamReview_Produce|produceDescriptions[26].text,%</nobr>分,%</nobr>數值變為,todo/new,%</nobr>數值變為,,<nobr>
ProduceCard.json,p_card-02-act-3_045|1|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamReview|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamReview_Produce|produceDescriptions[27].text,パラメータ,打分,todo/new,打分,,不可重複
ProduceCard.json,p_card-02-act-3_045|1|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamReview|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamReview_Produce|produceDescriptions[28].text,上昇,上升,todo/new,上升,,</nobr>
ProduceCard.json,p_card-02-act-3_045|2|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamReview|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamReview_Produce|produceDescriptions[5].text,やる気,幹勁,todo/new,幹勁,,元氣
ProduceCard.json,p_card-02-act-3_045|2|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamReview|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamReview_Produce|produceDescriptions[6].text,が3以上の場合、使用可,在3以上的時候，可以使用,todo/new,在3以上的時候，可以使用,,+
ProduceCard.json,p_card-02-act-3_045|2|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamReview|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamReview_Produce|produceDescriptions[12].text,やる気,幹勁,todo/new,幹勁,,%</nobr>數值變為
ProduceCard.json,p_card-02-act-3_045|2|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamReview|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamReview_Produce|produceDescriptions[13].text,効果を<nobr>1.5倍</nobr>適用）,效果會<nobr>1.5倍</nobr>生效）,todo/new,效果會<nobr>1.5倍</nobr>生效）,,打分
ProduceCard.json,p_card-02-act-3_045|2|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamReview|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamReview_Produce|produceDescriptions[18].text,%</nobr>分,%</nobr>數值變為,todo/new,%</nobr>數值變為,,的<nobr>
ProduceCard.json,p_card-02-act-3_045|2|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamReview|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamReview_Produce|produceDescriptions[19].text,パラメータ,打分,todo/new,打分,,200
ProduceCard.json,p_card-02-act-3_045|2|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamReview|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamReview_Produce|produceDescriptions[20].text,上昇,上升,todo/new,上升,,%</nobr>數值變為
ProduceCard.json,p_card-02-act-3_045|2|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamReview|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamReview_Produce|produceDescriptions[26].text,%</nobr>分,%</nobr>數值變為,todo/new,%</nobr>數值變為,,<nobr>
ProduceCard.json,p_card-02-act-3_045|2|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamReview|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamReview_Produce|produceDescriptions[27].text,パラメータ,打分,todo/new,打分,,不可重複
ProduceCard.json,p_card-02-act-3_045|2|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamReview|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamReview_Produce|produceDescriptions[28].text,上昇,上升,todo/new,上升,,</nobr>
ProduceCard.json,p_card-02-act-3_045|3|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamReview|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamReview_Produce|produceDescriptions[5].text,やる気,幹勁,todo/new,幹勁,,元氣
ProduceCard.json,p_card-02-act-3_045|3|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamReview|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamReview_Produce|produceDescriptions[6].text,が3以上の場合、使用可,在3以上的時候，可以使用,todo/new,在3以上的時候，可以使用,,+
ProduceCard.json,p_card-02-act-3_045|3|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamReview|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamReview_Produce|produceDescriptions[12].text,やる気,幹勁,todo/new,幹勁,,%</nobr>數值變為
ProduceCard.json,p_card-02-act-3_045|3|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamReview|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamReview_Produce|produceDescriptions[13].text,効果を<nobr>2倍</nobr>適用）,效果會<nobr>2倍</nobr>生效）,todo/new,效果會<nobr>2倍</nobr>生效）,,打分
ProduceCard.json,p_card-02-act-3_045|3|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamReview|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamReview_Produce|produceDescriptions[18].text,%</nobr>分,%</nobr>數值變為,todo/new,%</nobr>數值變為,,的<nobr>
ProduceCard.json,p_card-02-act-3_045|3|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamReview|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamReview_Produce|produceDescriptions[19].text,パラメータ,打分,todo/new,打分,,200
ProduceCard.json,p_card-02-act-3_045|3|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamReview|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamReview_Produce|produceDescriptions[20].text,上昇,上升,todo/new,上升,,%</nobr>數值變為
ProduceCard.json,p_card-02-act-3_045|3|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamReview|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamReview_Produce|produceDescriptions[26].text,%</nobr>分,%</nobr>數值變為,todo/new,%</nobr>數值變為,,<nobr>
ProduceCard.json,p_card-02-act-3_045|3|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamReview|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamReview_Produce|produceDescriptions[27].text,パラメータ,打分,todo/new,打分,,不可重複
ProduceCard.json,p_card-02-act-3_045|3|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamReview|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamReview_Produce|produceDescriptions[28].text,上昇,上升,todo/new,上升,,</nobr>
ProduceCard.json,p_card-02-act-3_052|0|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[5].text,が10以上の場合、使用可,在10以上的時候，可以使用,todo/new,在10以上的時候，可以使用,,的<nobr>
ProduceCard.json,p_card-02-act-3_052|0|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[8].text,の<nobr>,的<nobr>,todo/new,的<nobr>,,打分
ProduceCard.json,p_card-02-act-3_052|0|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[15].text,除外以外にある,在除外以外的,todo/new,在除外以外的,,</nobr>
ProduceCard.json,p_card-02-act-3_052|0|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[16].text,トラブルカード,干擾卡,todo/new,干擾卡,,課程中僅限1次
ProduceCard.json,p_card-02-act-3_052|1|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[5].text,が10以上の場合、使用可,在10以上的時候，可以使用,todo/new,在10以上的時候，可以使用,,的<nobr>
ProduceCard.json,p_card-02-act-3_052|1|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[8].text,の<nobr>,的<nobr>,todo/new,的<nobr>,,打分
ProduceCard.json,p_card-02-act-3_052|1|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[15].text,除外以外にある,在除外以外的,todo/new,在除外以外的,,</nobr>
ProduceCard.json,p_card-02-act-3_052|1|ProduceDescriptionType_ProduceExamEffectType|ExamDescriptionType_Unknown|ProduceExamEffectType_ExamStaminaReduceFix|ProduceCardCategory_Unknown|ProduceCardMovePositionType_Unknown|ProduceStepType_Unknown|Label_ExamStaminaReduceFix|produceDescriptions[16].text,トラブルカード,干擾卡,todo/new,干擾卡,,課程中僅限1次
