文件名,键名,日文原文,当前使用,使用来源,todo/new_翻译,jp_cn_翻译,data_翻译
MainTask.json,main_task_group-02-01|62|homeDescription,プロデュースに挑戦して評価A以上を獲得しよう,在培育中挑战获得A以上的评价吧,jp_cn,,在培育中挑战获得A以上的评价吧,在培育中挑战获得A以上的评价
MainTask.json,main_task_group-02-01|66|description,"プロデュースに挑戦して評価A以上を獲得しよう
【条件】プラン：センスのプロデュースアイドル","在培育中挑战获得A以上的评价吧
【条件】方案：感性的培育用偶像",jp_cn,,"在培育中挑战获得A以上的评价吧
【条件】方案：感性的培育用偶像","在培育中挑战获得A以上的评价
【条件】方案：感性的培育用偶像"
MainTask.json,main_task_group-02-01|66|homeDescription,"プロデュースに挑戦して評価A以上を獲得しよう
【条件】プラン：センスのプロデュースアイドル","在培育中挑战获得A以上的评价吧
【条件】方案：感性的培育用偶像",jp_cn,,"在培育中挑战获得A以上的评价吧
【条件】方案：感性的培育用偶像","在培育中挑战获得A以上的评价
【条件】方案：感性的培育用偶像"
MainTask.json,main_task_group-02-01|67|description,"プロデュースに挑戦して評価A以上を獲得しよう
【条件】プラン：ロジックのプロデュースアイドル","在培育中挑战获得A以上的评价吧
【条件】方案：理性的培育用偶像",jp_cn,,"在培育中挑战获得A以上的评价吧
【条件】方案：理性的培育用偶像","在培育中挑战获得A以上的评价
【条件】方案：理性的培育用偶像"
MainTask.json,main_task_group-02-01|67|homeDescription,"プロデュースに挑戦して評価A以上を獲得しよう
【条件】プラン：ロジックのプロデュースアイドル","在培育中挑战获得A以上的评价吧
【条件】方案：理性的培育用偶像",jp_cn,,"在培育中挑战获得A以上的评价吧
【条件】方案：理性的培育用偶像","在培育中挑战获得A以上的评价
【条件】方案：理性的培育用偶像"
MainTask.json,main_task_group-02-01|68|description,合計ファン数を{threshold}人にしよう,累计获得{threshold}名粉丝吧,jp_cn,,累计获得{threshold}名粉丝吧,累计获得{threshold}名粉丝
MainTask.json,main_task_group-02-01|68|homeDescription,合計ファン数を{threshold}人にしよう,累计获得{threshold}名粉丝吧,jp_cn,,累计获得{threshold}名粉丝吧,累计获得{threshold}名粉丝
MainTask.json,main_task_group-02-01|77|description,篠澤 広で最終試験に合格して評価A以上を{threshold}回獲得しよう,让筱泽广通过最终考试并获得{threshold}次A以上的评价吧,jp_cn,,让筱泽广通过最终考试并获得{threshold}次A以上的评价吧,让筱泽广通过最终考试并获得{threshold}次A以上的评价
MainTask.json,main_task_group-02-01|77|homeDescription,篠澤 広で最終試験に合格して評価A以上を{threshold}回獲得しよう,让筱泽广通过最终考试并获得{threshold}次A以上的评价吧,jp_cn,,让筱泽广通过最终考试并获得{threshold}次A以上的评价吧,让筱泽广通过最终考试并获得{threshold}次A以上的评价
MainTask.json,main_task_group-02-01|78|description,倉本 千奈で最終試験に合格して評価A以上を{threshold}回獲得しよう,让仓本千奈通过最终考试并获得{threshold}次A以上的评价吧,jp_cn,,让仓本千奈通过最终考试并获得{threshold}次A以上的评价吧,让仓本千奈通过最终考试并获得{threshold}次A以上的评价
MainTask.json,main_task_group-02-01|78|homeDescription,倉本 千奈で最終試験に合格して評価A以上を{threshold}回獲得しよう,让仓本千奈通过最终考试并获得{threshold}次A以上的评价吧,jp_cn,,让仓本千奈通过最终考试并获得{threshold}次A以上的评价吧,让仓本千奈通过最终考试并获得{threshold}次A以上的评价
MainTask.json,main_task_group-02-01|82|description,葛城 リーリヤで最終試験に合格して評価A以上を{threshold}回獲得しよう,让葛城莉莉娅通过最终考试并获得{threshold}次A以上的评价吧,jp_cn,,让葛城莉莉娅通过最终考试并获得{threshold}次A以上的评价吧,让葛城莉莉娅通过最终考试并获得{threshold}次A以上的评价
MainTask.json,main_task_group-02-01|82|homeDescription,葛城 リーリヤで最終試験に合格して評価A以上を{threshold}回獲得しよう,让葛城莉莉娅通过最终考试并获得{threshold}次A以上的评价吧,jp_cn,,让葛城莉莉娅通过最终考试并获得{threshold}次A以上的评价吧,让葛城莉莉娅通过最终考试并获得{threshold}次A以上的评价
MainTask.json,main_task_group-02-01|83|description,紫雲 清夏で最終試験に合格して評価A以上を{threshold}回獲得しよう,让紫云清夏通过最终考试并获得{threshold}次A以上的评价吧,jp_cn,,让紫云清夏通过最终考试并获得{threshold}次A以上的评价吧,让紫云清夏通过最终考试并获得{threshold}次A以上的评价
MainTask.json,main_task_group-02-01|83|homeDescription,紫雲 清夏で最終試験に合格して評価A以上を{threshold}回獲得しよう,让紫云清夏通过最终考试并获得{threshold}次A以上的评价吧,jp_cn,,让紫云清夏通过最终考试并获得{threshold}次A以上的评价吧,让紫云清夏通过最终考试并获得{threshold}次A以上的评价
MainTask.json,main_task_group-02-01|86|description,プロデュース評価を合計{threshold}獲得しよう,累计获得{threshold}培育评价吧,jp_cn,,累计获得{threshold}培育评价吧,累计获得{threshold}培育评价
MainTask.json,main_task_group-02-01|86|homeDescription,プロデュース評価を合計{threshold}獲得しよう,累计获得{threshold}培育评价吧,jp_cn,,累计获得{threshold}培育评价吧,累计获得{threshold}培育评价
MainTask.json,main_task_group-02-01|88|description,有村 麻央で最終試験に合格して評価A以上を{threshold}回獲得しよう,让有村麻央通过最终考试并获得{threshold}次A以上的评价吧,jp_cn,,让有村麻央通过最终考试并获得{threshold}次A以上的评价吧,让有村麻央通过最终考试并获得{threshold}次A以上的评价
MainTask.json,main_task_group-02-01|88|homeDescription,有村 麻央で最終試験に合格して評価A以上を{threshold}回獲得しよう,让有村麻央通过最终考试并获得{threshold}次A以上的评价吧,jp_cn,,让有村麻央通过最终考试并获得{threshold}次A以上的评价吧,让有村麻央通过最终考试并获得{threshold}次A以上的评价
MainTask.json,main_task_group-02-01|89|description,姫崎 莉波で最終試験に合格して評価A以上を{threshold}回獲得しよう,让姬崎莉波通过最终考试并获得{threshold}次A以上的评价吧,jp_cn,,让姬崎莉波通过最终考试并获得{threshold}次A以上的评价吧,让姬崎莉波通过最终考试并获得{threshold}次A以上的评价
MainTask.json,main_task_group-02-01|89|homeDescription,姫崎 莉波で最終試験に合格して評価A以上を{threshold}回獲得しよう,让姬崎莉波通过最终考试并获得{threshold}次A以上的评价吧,jp_cn,,让姬崎莉波通过最终考试并获得{threshold}次A以上的评价吧,让姬崎莉波通过最终考试并获得{threshold}次A以上的评价
MainTask.json,main_task_group-02-01|92|description,月村 手毬で最終試験に合格して評価A以上を{threshold}回獲得しよう,让月村手毬通过最终考试并获得{threshold}次A以上的评价吧,jp_cn,,让月村手毬通过最终考试并获得{threshold}次A以上的评价吧,让月村手毬通过最终考试并获得{threshold}次A以上的评价
MainTask.json,main_task_group-02-01|92|homeDescription,月村 手毬で最終試験に合格して評価A以上を{threshold}回獲得しよう,让月村手毬通过最终考试并获得{threshold}次A以上的评价吧,jp_cn,,让月村手毬通过最终考试并获得{threshold}次A以上的评价吧,让月村手毬通过最终考试并获得{threshold}次A以上的评价
MainTask.json,main_task_group-02-01|93|description,藤田 ことねで最終試験に合格して評価A以上を{threshold}回獲得しよう,让藤田琴音通过最终考试并获得{threshold}次A以上的评价吧,jp_cn,,让藤田琴音通过最终考试并获得{threshold}次A以上的评价吧,让藤田琴音通过最终考试并获得{threshold}次A以上的评价
MainTask.json,main_task_group-02-01|93|homeDescription,藤田 ことねで最終試験に合格して評価A以上を{threshold}回獲得しよう,让藤田琴音通过最终考试并获得{threshold}次A以上的评价吧,jp_cn,,让藤田琴音通过最终考试并获得{threshold}次A以上的评价吧,让藤田琴音通过最终考试并获得{threshold}次A以上的评价
MainTask.json,main_task_group-02-01|97|description,花海 咲季で最終試験に合格して評価A以上を{threshold}回獲得しよう,让花海咲季通过最终考试并获得{threshold}次A以上的评价吧,jp_cn,,让花海咲季通过最终考试并获得{threshold}次A以上的评价吧,让花海咲季通过最终考试并获得{threshold}次A以上的评价
MainTask.json,main_task_group-02-01|97|homeDescription,花海 咲季で最終試験に合格して評価A以上を{threshold}回獲得しよう,让花海咲季通过最终考试并获得{threshold}次A以上的评价吧,jp_cn,,让花海咲季通过最终考试并获得{threshold}次A以上的评价吧,让花海咲季通过最终考试并获得{threshold}次A以上的评价
MainTask.json,main_task_group-02-01|98|description,花海 佑芽で最終試験に合格して評価A以上を{threshold}回獲得しよう,让花海佑芽通过最终考试并获得{threshold}次A以上的评价吧,jp_cn,,让花海佑芽通过最终考试并获得{threshold}次A以上的评价吧,让花海佑芽通过最终考试并获得{threshold}次A以上的评价
MainTask.json,main_task_group-02-01|98|homeDescription,花海 佑芽で最終試験に合格して評価A以上を{threshold}回獲得しよう,让花海佑芽通过最终考试并获得{threshold}次A以上的评价吧,jp_cn,,让花海佑芽通过最终考试并获得{threshold}次A以上的评价吧,让花海佑芽通过最终考试并获得{threshold}次A以上的评价
MainTask.json,main_task_group-03-01|4|description,アノマリーガシャを{threshold}回引こう,去异类扭蛋抽卡{threshold}次,jp_cn,,去异类扭蛋抽卡{threshold}次,去异类扭蛋抽卡{threshold}次吧
MainTask.json,main_task_group-03-01|4|homeDescription,アノマリーガシャを{threshold}回引こう,去异类扭蛋抽卡{threshold}次,jp_cn,,去异类扭蛋抽卡{threshold}次,去异类扭蛋抽卡{threshold}次吧
MainTask.json,main_task_group-03-01|18|description,プラン：アノマリーのプロデュースアイドルで最終試験に合格して評価A以上を{threshold}回獲得しよう,让方案：异类的培育用偶像通过最终考试并获得{threshold}次A以上的评价吧,jp_cn,,让方案：异类的培育用偶像通过最终考试并获得{threshold}次A以上的评价吧,让方案：异类的培育用偶像通过最终考试并获得{threshold}次A以上的评价
MainTask.json,main_task_group-03-01|18|homeDescription,プラン：アノマリーのプロデュースアイドルで最終試験に合格して評価A以上を{threshold}回獲得しよう,让方案：异类的培育用偶像通过最终考试并获得{threshold}次A以上的评价吧,jp_cn,,让方案：异类的培育用偶像通过最终考试并获得{threshold}次A以上的评价吧,让方案：异类的培育用偶像通过最终考试并获得{threshold}次A以上的评价
MainTask.json,main_task_group-03-01|28|description,合計ファン数を{threshold}人にしよう,累计获得{threshold}名粉丝吧,jp_cn,,累计获得{threshold}名粉丝吧,累计获得{threshold}名粉丝
MainTask.json,main_task_group-03-01|28|homeDescription,合計ファン数を{threshold}人にしよう,累计获得{threshold}名粉丝吧,jp_cn,,累计获得{threshold}名粉丝吧,累计获得{threshold}名粉丝
MainTask.json,main_task_group-03-01|34|description,プロデュースに挑戦して評価A+以上を獲得しよう,在培育中挑战获得A+以上的评价吧,jp_cn,,在培育中挑战获得A+以上的评价吧,在培育中挑战获得A+以上的评价
MainTask.json,main_task_group-03-01|34|homeDescription,プロデュースに挑戦して評価A+以上を獲得しよう,在培育中挑战获得A+以上的评价吧,jp_cn,,在培育中挑战获得A+以上的评价吧,在培育中挑战获得A+以上的评价
MainTask.json,main_task_group-03-01|50|description,プロデュースに挑戦して評価S以上を獲得しよう,在培育中挑战获得S以上的评价吧,jp_cn,,在培育中挑战获得S以上的评价吧,在培育中挑战获得S以上的评价
MainTask.json,main_task_group-03-01|50|homeDescription,プロデュースに挑戦して評価S以上を獲得しよう,在培育中挑战获得S以上的评价吧,jp_cn,,在培育中挑战获得S以上的评价吧,在培育中挑战获得S以上的评价
MainTask.json,main_task_group-03-01|64|description,合計ファン数を{threshold}人にしよう,累计获得{threshold}名粉丝吧,jp_cn,,累计获得{threshold}名粉丝吧,累计获得{threshold}名粉丝
MainTask.json,main_task_group-03-01|64|homeDescription,合計ファン数を{threshold}人にしよう,累计获得{threshold}名粉丝吧,jp_cn,,累计获得{threshold}名粉丝吧,累计获得{threshold}名粉丝
MainTask.json,main_task_group-03-01|66|description,"N.I.Aで最終オーディションに合格して評価S以上達成しよう
【条件】プラン：センスのプロデュースアイドル","在N.I.A的最终试镜中合格并达成S以上的评价吧
【条件】方案：感性的培育用偶像",jp_cn,,"在N.I.A的最终试镜中合格并达成S以上的评价吧
【条件】方案：感性的培育用偶像","在N.I.A的最终试镜中合格并达成S以上的评价
【条件】方案：感性的培育用偶像"
MainTask.json,main_task_group-03-01|66|homeDescription,"N.I.Aで最終オーディションに合格して評価S以上達成しよう
【条件】プラン：センスのプロデュースアイドル","在N.I.A的最终试镜中合格并达成S以上的评价吧
【条件】方案：感性的培育用偶像",jp_cn,,"在N.I.A的最终试镜中合格并达成S以上的评价吧
【条件】方案：感性的培育用偶像","在N.I.A的最终试镜中合格并达成S以上的评价
【条件】方案：感性的培育用偶像"
MainTask.json,main_task_group-03-01|78|description,"N.I.Aで最終オーディションに合格して評価S以上達成しよう
【条件】プラン：ロジックのプロデュースアイドル","在N.I.A的最终试镜中合格并达成S以上的评价吧
【条件】方案：理性的培育用偶像",jp_cn,,"在N.I.A的最终试镜中合格并达成S以上的评价吧
【条件】方案：理性的培育用偶像","在N.I.A的最终试镜中合格并达成S以上的评价
【条件】方案：理性的培育用偶像"
MainTask.json,main_task_group-03-01|78|homeDescription,"N.I.Aで最終オーディションに合格して評価S以上達成しよう
【条件】プラン：ロジックのプロデュースアイドル","在N.I.A的最终试镜中合格并达成S以上的评价吧
【条件】方案：理性的培育用偶像",jp_cn,,"在N.I.A的最终试镜中合格并达成S以上的评价吧
【条件】方案：理性的培育用偶像","在N.I.A的最终试镜中合格并达成S以上的评价
【条件】方案：理性的培育用偶像"
MainTask.json,main_task_group-03-01|79|description,合計ファン数を{threshold}人にしよう,累计获得{threshold}名粉丝吧,jp_cn,,累计获得{threshold}名粉丝吧,累计获得{threshold}名粉丝
MainTask.json,main_task_group-03-01|79|homeDescription,合計ファン数を{threshold}人にしよう,累计获得{threshold}名粉丝吧,jp_cn,,累计获得{threshold}名粉丝吧,累计获得{threshold}名粉丝
MainTask.json,main_task_group-03-01|81|description,"N.I.Aで最終オーディションに合格して評価S以上達成しよう
【条件】プラン：アノマリーのプロデュースアイドル","在N.I.A的最终试镜中合格并达成S以上的评价吧
【条件】方案：异类的培育用偶像",jp_cn,,"在N.I.A的最终试镜中合格并达成S以上的评价吧
【条件】方案：异类的培育用偶像","在N.I.A的最终试镜中合格并达成S以上的评价
【条件】方案：异类的培育用偶像"
MainTask.json,main_task_group-03-01|81|homeDescription,"N.I.Aで最終オーディションに合格して評価S以上達成しよう
【条件】プラン：アノマリーのプロデュースアイドル","在N.I.A的最终试镜中合格并达成S以上的评价吧
【条件】方案：异类的培育用偶像",jp_cn,,"在N.I.A的最终试镜中合格并达成S以上的评价吧
【条件】方案：异类的培育用偶像","在N.I.A的最终试镜中合格并达成S以上的评价
【条件】方案：异类的培育用偶像"
MainTask.json,main_task_group-03-01|99|description,プロデュースに挑戦して評価S+以上を獲得しよう,在培育中挑战获得S+以上的评价吧,jp_cn,,在培育中挑战获得S+以上的评价吧,在培育中挑战获得S+以上的评价
MainTask.json,main_task_group-03-01|99|homeDescription,プロデュースに挑戦して評価S+以上を獲得しよう,在培育中挑战获得S+以上的评价吧,jp_cn,,在培育中挑战获得S+以上的评价吧,在培育中挑战获得S+以上的评价
Mission.json,dearness_event_fktn-002|name,藤田 ことねのプロデュースでおでかけを{threshold}回選択しよう,在藤田琴音的培育中选择{threshold}次外出吧,jp_cn,,在藤田琴音的培育中选择{threshold}次外出吧,在藤田琴音的培育中选择{threshold}次外出
Mission.json,dearness_event_fktn-003|name,藤田 ことねのプロデュースで相談を{threshold}回選択しよう,在藤田琴音的培育中选择{threshold}次咨询吧,jp_cn,,在藤田琴音的培育中选择{threshold}次咨询吧,在藤田琴音的培育中选择{threshold}次咨询
Mission.json,dearness_event_fktn-004|name,藤田 ことねのプロデュースで営業を{threshold}回選択しよう,在藤田琴音的培育中选择{threshold}次营业吧,jp_cn,,在藤田琴音的培育中选择{threshold}次营业吧,在藤田琴音的培育中选择{threshold}次营业
Mission.json,dearness_event_fktn-005|name,藤田 ことねのプロデュースで差し入れを{threshold}回選択しよう,在藤田琴音的培育中选择{threshold}次慰问品吧,jp_cn,,在藤田琴音的培育中选择{threshold}次慰问品吧,在藤田琴音的培育中选择{threshold}次慰问品
Mission.json,dearness_event_fktn-006|name,藤田 ことねでダンスレッスンを{threshold}回クリアしよう,藤田琴音通关{threshold}次舞蹈课程吧,jp_cn,,藤田琴音通关{threshold}次舞蹈课程吧,藤田琴音通关{threshold}次舞蹈课程
Mission.json,dearness_event_fktn-007|name,藤田 ことねのプロデュースで特別指導を{threshold}回選択しよう,在藤田琴音的培育中选择{threshold}次特别指导吧,jp_cn,,在藤田琴音的培育中选择{threshold}次特别指导吧,在藤田琴音的培育中选择{threshold}次特别指导
Mission.json,dearness_event_fktn-008|name,藤田 ことねで最終試験に合格して評価SS以上を{threshold}回獲得しよう,让藤田琴音通过最终考试并获得{threshold}次SS以上评价吧,todo/new,让藤田琴音通过最终考试并获得{threshold}次SS以上评价吧,藤田琴音通过最终考试并获得{threshold}次SS以上评价吧,藤田琴音通过最终考试并获得{threshold}次SS以上评价
Mission.json,dearness_event_shro-002|name,篠澤 広のプロデュースでおでかけを{threshold}回選択しよう,在筱泽广的培育中选择{threshold}次外出吧,jp_cn,,在筱泽广的培育中选择{threshold}次外出吧,在筱泽广的培育中选择{threshold}次外出
Mission.json,dearness_event_shro-003|name,篠澤 広のプロデュースで相談を{threshold}回選択しよう,在筱泽广的培育中选择{threshold}次咨询吧,jp_cn,,在筱泽广的培育中选择{threshold}次咨询吧,在筱泽广的培育中选择{threshold}次咨询
Mission.json,dearness_event_shro-004|name,篠澤 広のプロデュースで営業を{threshold}回選択しよう,在筱泽广的培育中选择{threshold}次营业吧,jp_cn,,在筱泽广的培育中选择{threshold}次营业吧,在筱泽广的培育中选择{threshold}次营业
Mission.json,dearness_event_shro-005|name,篠澤 広のプロデュースで差し入れを{threshold}回選択しよう,在筱泽广的培育中选择{threshold}次慰问品吧,jp_cn,,在筱泽广的培育中选择{threshold}次慰问品吧,在筱泽广的培育中选择{threshold}次慰问品
Mission.json,dearness_event_shro-006|name,篠澤 広でボーカルレッスンを{threshold}回クリアしよう,筱泽广通过{threshold}次歌唱课程吧,jp_cn,,筱泽广通过{threshold}次歌唱课程吧,筱泽广通过{threshold}次歌唱课程
Mission.json,dearness_event_shro-007|name,篠澤 広のプロデュースで特別指導を{threshold}回選択しよう,在筱泽广的培育中选择{threshold}次特别指导吧,jp_cn,,在筱泽广的培育中选择{threshold}次特别指导吧,在筱泽广的培育中选择{threshold}次特别指导
Mission.json,dearness_event_shro-008|name,篠澤 広で最終試験に合格して評価SS以上を{threshold}回獲得しよう,让筱泽广通过最终考试并获得{threshold}次SS以上评价吧,todo/new,让筱泽广通过最终考试并获得{threshold}次SS以上评价吧,筱泽广通过最终考试并获得{threshold}次SS以上评价吧,筱泽广通过最终考试并获得{threshold}次SS以上评价
Mission.json,dearness_event_ssmk-002|name,紫雲清夏のプロデュースで相談を{threshold}回選択しよう,在紫云清夏的培育中选择{threshold}次咨询吧,jp_cn,,在紫云清夏的培育中选择{threshold}次咨询吧,在紫云清夏的培育中选择{threshold}次咨询
Mission.json,dearness_event_ssmk-003|name,紫雲清夏のプロデュースでおでかけを{threshold}回選択しよう,在紫云清夏的培育中选择{threshold}次外出吧,jp_cn,,在紫云清夏的培育中选择{threshold}次外出吧,在紫云清夏的培育中选择{threshold}次外出
Mission.json,dearness_event_ssmk-004|name,紫雲清夏のプロデュースで営業を{threshold}回選択しよう,在紫云清夏的培育中选择{threshold}次营业吧,jp_cn,,在紫云清夏的培育中选择{threshold}次营业吧,在紫云清夏的培育中选择{threshold}次营业
Mission.json,dearness_event_ssmk-005|name,紫雲清夏のプロデュースで差し入れを{threshold}回選択しよう,在紫云清夏的培育中选择{threshold}次慰问品吧,jp_cn,,在紫云清夏的培育中选择{threshold}次慰问品吧,在紫云清夏的培育中选择{threshold}次慰问品
Mission.json,dearness_event_ssmk-006|name,紫雲清夏でダンスレッスンを{threshold}回クリアしよう,紫云清夏通关{threshold}次舞蹈课程吧,jp_cn,,紫云清夏通关{threshold}次舞蹈课程吧,紫云清夏通关{threshold}次舞蹈课程
